ROS Processes Log
iteration: 22 ; CPU: .28% ; MEM: .60 
iteration: 174 ; CPU: 31.12% ; MEM: 4710.50 
iteration: 175 ; CPU: 31.35% ; MEM: 4710.50 
iteration: 176 ; CPU: 31.58% ; MEM: 4710.50 
iteration: 177 ; CPU: 31.84% ; MEM: 4711.04 
iteration: 178 ; CPU: 32.09% ; MEM: 4715.29 
iteration: 179 ; CPU: 32.29% ; MEM: 4715.30 
iteration: 180 ; CPU: 30.63% ; MEM: 4715.31 
iteration: 181 ; CPU: 30.81% ; MEM: 4715.32 
iteration: 182 ; CPU: 31.03% ; MEM: 4715.32 
iteration: 183 ; CPU: 31.27% ; MEM: 4715.86 
iteration: 184 ; CPU: 31.48% ; MEM: 4715.87 
iteration: 185 ; CPU: 31.70% ; MEM: 4716.40 
iteration: 186 ; CPU: 31.90% ; MEM: 4716.47 
iteration: 187 ; CPU: 30.35% ; MEM: 4716.47 
iteration: 188 ; CPU: 30.55% ; MEM: 4716.47 
iteration: 189 ; CPU: 30.76% ; MEM: 4716.47 
iteration: 190 ; CPU: 30.96% ; MEM: 4716.47 
iteration: 191 ; CPU: 31.15% ; MEM: 4716.47 
iteration: 192 ; CPU: 31.41% ; MEM: 4716.47 
iteration: 193 ; CPU: 31.59% ; MEM: 4716.47 
iteration: 194 ; CPU: 30.14% ; MEM: 4716.47 
iteration: 195 ; CPU: 30.36% ; MEM: 4716.47 
iteration: 196 ; CPU: 30.53% ; MEM: 4716.47 
iteration: 197 ; CPU: 30.73% ; MEM: 4716.47 
iteration: 198 ; CPU: 30.92% ; MEM: 4716.47 
iteration: 199 ; CPU: 31.09% ; MEM: 4716.47 
iteration: 200 ; CPU: 31.28% ; MEM: 4716.47 
iteration: 201 ; CPU: 29.93% ; MEM: 4716.47 
iteration: 202 ; CPU: 30.15% ; MEM: 4716.47 
iteration: 203 ; CPU: 30.36% ; MEM: 4716.47 
iteration: 204 ; CPU: 30.55% ; MEM: 4716.47 
iteration: 205 ; CPU: 30.72% ; MEM: 4716.47 
iteration: 206 ; CPU: 30.91% ; MEM: 4716.47 
iteration: 207 ; CPU: 31.13% ; MEM: 4716.47 
iteration: 208 ; CPU: 29.86% ; MEM: 4716.47 
iteration: 209 ; CPU: 30.04% ; MEM: 4716.47 
iteration: 210 ; CPU: 30.21% ; MEM: 4716.47 
iteration: 211 ; CPU: 30.40% ; MEM: 4716.47 
iteration: 212 ; CPU: 30.55% ; MEM: 4716.47 
iteration: 213 ; CPU: 30.72% ; MEM: 4716.47 
iteration: 214 ; CPU: 30.93% ; MEM: 4717.39 
iteration: 215 ; CPU: 31.17% ; MEM: 4717.51 
iteration: 216 ; CPU: 29.51% ; MEM: 4620.18 
iteration: 217 ; CPU: 29.50% ; MEM: 4587.59 
iteration: 218 ; CPU: 29.16% ; MEM: 4615.18 
iteration: 219 ; CPU: 28.84% ; MEM: 4600.13 
iteration: 220 ; CPU: 28.88% ; MEM: 4569.20 
