Java Processes Log
iteration: 535 ; CPU: 3.25% ; MEM: 861.39 
iteration: 536 ; CPU: 3.25% ; MEM: 861.39 
iteration: 537 ; CPU: 3.26% ; MEM: 861.39 
iteration: 538 ; CPU: 3.26% ; MEM: 861.39 
iteration: 539 ; CPU: 3.27% ; MEM: 861.64 
iteration: 540 ; CPU: 3.28% ; MEM: 861.64 
iteration: 541 ; CPU: 3.17% ; MEM: 861.64 
iteration: 542 ; CPU: 3.17% ; MEM: 861.64 
iteration: 543 ; CPU: 3.18% ; MEM: 861.64 
iteration: 544 ; CPU: 3.19% ; MEM: 861.64 
iteration: 545 ; CPU: 3.19% ; MEM: 861.64 
iteration: 546 ; CPU: 3.20% ; MEM: 861.64 
iteration: 547 ; CPU: 3.10% ; MEM: 861.64 
iteration: 548 ; CPU: 3.10% ; MEM: 861.64 
iteration: 549 ; CPU: 3.10% ; MEM: 861.64 
iteration: 550 ; CPU: 3.11% ; MEM: 861.64 
iteration: 551 ; CPU: 3.12% ; MEM: 861.70 
iteration: 552 ; CPU: 3.12% ; MEM: 861.70 
iteration: 553 ; CPU: 3.13% ; MEM: 861.70 
iteration: 554 ; CPU: 3.03% ; MEM: 861.70 
iteration: 555 ; CPU: 3.03% ; MEM: 861.70 
iteration: 556 ; CPU: 3.04% ; MEM: 861.76 
iteration: 557 ; CPU: 3.04% ; MEM: 861.76 
iteration: 558 ; CPU: 3.05% ; MEM: 861.76 
iteration: 559 ; CPU: 3.05% ; MEM: 861.76 
iteration: 560 ; CPU: 2.96% ; MEM: 861.76 
iteration: 561 ; CPU: 2.96% ; MEM: 861.76 
iteration: 562 ; CPU: 2.97% ; MEM: 861.76 
iteration: 563 ; CPU: 2.98% ; MEM: 862.00 
iteration: 564 ; CPU: 2.98% ; MEM: 862.00 
iteration: 565 ; CPU: 2.98% ; MEM: 862.00 
iteration: 566 ; CPU: 2.99% ; MEM: 862.01 
iteration: 567 ; CPU: 2.90% ; MEM: 862.01 
iteration: 568 ; CPU: 2.90% ; MEM: 862.01 
iteration: 569 ; CPU: 2.91% ; MEM: 862.01 
iteration: 570 ; CPU: 2.91% ; MEM: 862.01 
iteration: 571 ; CPU: 2.92% ; MEM: 862.01 
iteration: 572 ; CPU: 2.92% ; MEM: 862.01 
iteration: 573 ; CPU: 2.93% ; MEM: 862.01 
iteration: 574 ; CPU: 2.85% ; MEM: 862.01 
iteration: 575 ; CPU: 2.85% ; MEM: 862.01 
iteration: 576 ; CPU: 2.85% ; MEM: 862.07 
iteration: 577 ; CPU: 2.86% ; MEM: 862.18 
iteration: 578 ; CPU: 2.86% ; MEM: 862.18 
iteration: 579 ; CPU: 2.87% ; MEM: 862.18 
iteration: 580 ; CPU: 2.79% ; MEM: 862.18 
iteration: 581 ; CPU: 2.79% ; MEM: 862.18 
iteration: 582 ; CPU: 2.80% ; MEM: 862.18 
iteration: 583 ; CPU: 2.80% ; MEM: 862.18 
iteration: 584 ; CPU: 2.80% ; MEM: 862.18 
iteration: 585 ; CPU: 2.81% ; MEM: 862.18 
iteration: 586 ; CPU: 2.81% ; MEM: 862.18 
iteration: 587 ; CPU: 2.74% ; MEM: 862.30 
iteration: 588 ; CPU: 2.74% ; MEM: 862.30 
iteration: 589 ; CPU: 2.74% ; MEM: 862.30 
iteration: 590 ; CPU: 2.75% ; MEM: 862.30 
iteration: 591 ; CPU: 2.75% ; MEM: 862.30 
iteration: 592 ; CPU: 2.75% ; MEM: 862.30 
iteration: 593 ; CPU: 2.68% ; MEM: 862.30 
iteration: 594 ; CPU: 2.69% ; MEM: 862.30 
iteration: 595 ; CPU: 2.69% ; MEM: 862.30 
iteration: 596 ; CPU: 2.69% ; MEM: 862.30 
iteration: 597 ; CPU: 2.70% ; MEM: 862.30 
iteration: 598 ; CPU: 2.70% ; MEM: 862.41 
iteration: 599 ; CPU: 2.70% ; MEM: 862.41 
iteration: 600 ; CPU: 2.63% ; MEM: 862.45 
iteration: 601 ; CPU: 2.64% ; MEM: 862.45 
iteration: 602 ; CPU: 2.64% ; MEM: 862.50 
iteration: 603 ; CPU: 2.64% ; MEM: 862.50 
iteration: 604 ; CPU: 2.65% ; MEM: 862.50 
iteration: 605 ; CPU: 2.65% ; MEM: 862.54 
iteration: 606 ; CPU: 2.65% ; MEM: 862.54 
iteration: 607 ; CPU: 2.59% ; MEM: 862.54 
iteration: 608 ; CPU: 2.59% ; MEM: 862.54 
iteration: 609 ; CPU: 2.60% ; MEM: 862.54 
iteration: 610 ; CPU: 2.60% ; MEM: 862.54 
iteration: 611 ; CPU: 2.60% ; MEM: 862.68 
iteration: 612 ; CPU: 2.61% ; MEM: 862.68 
iteration: 613 ; CPU: 2.61% ; MEM: 862.68 
iteration: 614 ; CPU: 2.55% ; MEM: 862.68 
iteration: 615 ; CPU: 2.55% ; MEM: 862.68 
iteration: 616 ; CPU: 2.55% ; MEM: 862.68 
iteration: 617 ; CPU: 2.56% ; MEM: 862.68 
iteration: 618 ; CPU: 2.57% ; MEM: 862.68 
iteration: 619 ; CPU: 2.57% ; MEM: 862.68 
iteration: 620 ; CPU: 2.50% ; MEM: 862.68 
iteration: 621 ; CPU: 2.51% ; MEM: 862.68 
iteration: 622 ; CPU: 2.51% ; MEM: 862.68 
iteration: 623 ; CPU: 2.51% ; MEM: 862.68 
iteration: 624 ; CPU: 2.51% ; MEM: 862.68 
iteration: 625 ; CPU: 2.52% ; MEM: 862.68 
iteration: 626 ; CPU: 2.52% ; MEM: 862.68 
iteration: 627 ; CPU: 2.46% ; MEM: 862.68 
