ROS Processes Log
iteration: 180 ; CPU: 62.83% ; MEM: 8545.90 
iteration: 181 ; CPU: 63.38% ; MEM: 8560.85 
iteration: 182 ; CPU: 63.95% ; MEM: 8562.94 
iteration: 183 ; CPU: 64.59% ; MEM: 8562.94 
iteration: 184 ; CPU: 65.01% ; MEM: 8601.51 
iteration: 185 ; CPU: 70.64% ; MEM: 8608.52 
iteration: 186 ; CPU: 71.51% ; MEM: 8610.30 
iteration: 187 ; CPU: 72.63% ; MEM: 8610.90 
iteration: 188 ; CPU: 73.70% ; MEM: 8590.36 
iteration: 189 ; CPU: 64.54% ; MEM: 8576.55 
iteration: 190 ; CPU: 64.61% ; MEM: 8579.03 
iteration: 191 ; CPU: 83.27% ; MEM: 8611.60 
iteration: 192 ; CPU: 85.10% ; MEM: 8622.19 
iteration: 193 ; CPU: 86.86% ; MEM: 8589.98 
iteration: 194 ; CPU: 79.26% ; MEM: 8511.25 
iteration: 195 ; CPU: 80.81% ; MEM: 8478.07 
iteration: 196 ; CPU: 73.30% ; MEM: 8435.08 
iteration: 197 ; CPU: 70.25% ; MEM: 8431.91 
iteration: 198 ; CPU: 71.32% ; MEM: 8435.59 
iteration: 199 ; CPU: 72.44% ; MEM: 8366.17 
iteration: 200 ; CPU: 73.69% ; MEM: 8298.33 
iteration: 201 ; CPU: 76.47% ; MEM: 8165.80 
iteration: 202 ; CPU: 58.51% ; MEM: 7943.88 
iteration: 203 ; CPU: 58.97% ; MEM: 7943.88 
iteration: 204 ; CPU: 59.50% ; MEM: 7943.88 
iteration: 205 ; CPU: 60.00% ; MEM: 7943.88 
iteration: 206 ; CPU: 68.04% ; MEM: 8019.16 
iteration: 207 ; CPU: 68.94% ; MEM: 8032.73 
iteration: 208 ; CPU: 70.28% ; MEM: 8033.99 
iteration: 209 ; CPU: 71.86% ; MEM: 7999.39 
iteration: 210 ; CPU: 73.28% ; MEM: 7964.86 
iteration: 211 ; CPU: 68.55% ; MEM: 7876.09 
iteration: 212 ; CPU: 62.53% ; MEM: 7852.00 
iteration: 213 ; CPU: 63.38% ; MEM: 7876.07 
iteration: 214 ; CPU: 63.86% ; MEM: 7878.09 
iteration: 215 ; CPU: 64.40% ; MEM: 7878.12 
iteration: 216 ; CPU: 64.54% ; MEM: 7809.12 
iteration: 217 ; CPU: 67.66% ; MEM: 7809.50 
iteration: 218 ; CPU: 56.72% ; MEM: 7631.76 
iteration: 219 ; CPU: 57.14% ; MEM: 7631.76 
iteration: 220 ; CPU: 57.58% ; MEM: 7631.76 
iteration: 221 ; CPU: 58.02% ; MEM: 7631.76 
iteration: 222 ; CPU: 58.43% ; MEM: 7631.76 
iteration: 223 ; CPU: 56.76% ; MEM: 7631.76 
iteration: 224 ; CPU: 57.17% ; MEM: 7631.76 
iteration: 225 ; CPU: 57.59% ; MEM: 7631.76 
iteration: 226 ; CPU: 58.00% ; MEM: 7631.76 
iteration: 227 ; CPU: 58.41% ; MEM: 7631.76 
iteration: 228 ; CPU: 58.81% ; MEM: 7632.02 
iteration: 229 ; CPU: 57.17% ; MEM: 7632.02 
iteration: 230 ; CPU: 57.55% ; MEM: 7632.02 
iteration: 231 ; CPU: 57.93% ; MEM: 7632.02 
iteration: 232 ; CPU: 58.38% ; MEM: 7632.02 
iteration: 233 ; CPU: 58.79% ; MEM: 7632.28 
iteration: 234 ; CPU: 59.15% ; MEM: 7632.28 
iteration: 235 ; CPU: 57.60% ; MEM: 7632.28 
iteration: 236 ; CPU: 57.94% ; MEM: 7632.28 
iteration: 237 ; CPU: 58.31% ; MEM: 7632.28 
iteration: 238 ; CPU: 58.69% ; MEM: 7632.28 
iteration: 239 ; CPU: 59.08% ; MEM: 7632.28 
iteration: 240 ; CPU: 59.47% ; MEM: 7632.28 
iteration: 241 ; CPU: 57.93% ; MEM: 7632.28 
iteration: 242 ; CPU: 58.33% ; MEM: 7632.28 
iteration: 243 ; CPU: 58.66% ; MEM: 7632.28 
iteration: 244 ; CPU: 59.06% ; MEM: 7632.28 
iteration: 245 ; CPU: 59.38% ; MEM: 7632.54 
iteration: 246 ; CPU: 59.74% ; MEM: 7632.54 
iteration: 247 ; CPU: 58.26% ; MEM: 7632.54 
iteration: 248 ; CPU: 58.56% ; MEM: 7632.54 
iteration: 249 ; CPU: 58.94% ; MEM: 7632.80 
iteration: 250 ; CPU: 59.30% ; MEM: 7632.80 
iteration: 251 ; CPU: 59.68% ; MEM: 7632.80 
iteration: 252 ; CPU: 60.02% ; MEM: 7632.80 
iteration: 253 ; CPU: 58.59% ; MEM: 7632.80 
iteration: 254 ; CPU: 58.94% ; MEM: 7632.80 
iteration: 255 ; CPU: 59.25% ; MEM: 7632.80 
iteration: 256 ; CPU: 59.61% ; MEM: 7632.80 
iteration: 257 ; CPU: 59.90% ; MEM: 7632.80 
iteration: 258 ; CPU: 60.25% ; MEM: 7632.80 
iteration: 259 ; CPU: 58.76% ; MEM: 7632.80 
iteration: 260 ; CPU: 59.14% ; MEM: 7632.80 
iteration: 261 ; CPU: 59.45% ; MEM: 7632.80 
iteration: 262 ; CPU: 59.81% ; MEM: 7632.80 
iteration: 263 ; CPU: 60.11% ; MEM: 7633.05 
iteration: 264 ; CPU: 60.42% ; MEM: 7633.05 
iteration: 265 ; CPU: 59.05% ; MEM: 7633.05 
iteration: 266 ; CPU: 59.32% ; MEM: 7633.31 
iteration: 267 ; CPU: 59.67% ; MEM: 7633.31 
iteration: 268 ; CPU: 59.96% ; MEM: 7633.31 
iteration: 269 ; CPU: 60.30% ; MEM: 7633.31 
iteration: 270 ; CPU: 60.62% ; MEM: 7633.31 
iteration: 271 ; CPU: 59.28% ; MEM: 7633.31 
iteration: 272 ; CPU: 59.60% ; MEM: 7633.31 
iteration: 273 ; CPU: 59.90% ; MEM: 7636.41 
iteration: 274 ; CPU: 60.22% ; MEM: 7636.41 
iteration: 275 ; CPU: 60.52% ; MEM: 7636.41 
iteration: 276 ; CPU: 60.86% ; MEM: 7636.41 
iteration: 277 ; CPU: 59.44% ; MEM: 7636.41 
iteration: 278 ; CPU: 59.78% ; MEM: 7638.73 
iteration: 279 ; CPU: 60.06% ; MEM: 7639.76 
iteration: 280 ; CPU: 60.36% ; MEM: 7639.76 
iteration: 281 ; CPU: 60.68% ; MEM: 7639.76 
iteration: 282 ; CPU: 61.03% ; MEM: 7639.76 
iteration: 283 ; CPU: 59.74% ; MEM: 7639.76 
iteration: 284 ; CPU: 60.04% ; MEM: 7639.76 
iteration: 285 ; CPU: 60.37% ; MEM: 7639.76 
iteration: 286 ; CPU: 60.70% ; MEM: 7639.76 
iteration: 287 ; CPU: 61.05% ; MEM: 7639.76 
iteration: 288 ; CPU: 59.82% ; MEM: 7639.76 
iteration: 289 ; CPU: 60.10% ; MEM: 7639.76 
iteration: 290 ; CPU: 60.45% ; MEM: 7640.15 
iteration: 291 ; CPU: 60.77% ; MEM: 7640.15 
iteration: 292 ; CPU: 61.12% ; MEM: 7640.15 
iteration: 293 ; CPU: 61.46% ; MEM: 7640.15 
iteration: 294 ; CPU: 60.19% ; MEM: 7640.15 
iteration: 295 ; CPU: 60.50% ; MEM: 7640.15 
iteration: 296 ; CPU: 60.82% ; MEM: 7640.15 
iteration: 297 ; CPU: 61.12% ; MEM: 7640.15 
iteration: 298 ; CPU: 61.42% ; MEM: 7640.15 
iteration: 299 ; CPU: 60.23% ; MEM: 7640.41 
iteration: 300 ; CPU: 60.51% ; MEM: 7640.41 
iteration: 301 ; CPU: 60.84% ; MEM: 7640.41 
iteration: 302 ; CPU: 61.11% ; MEM: 7640.41 
iteration: 303 ; CPU: 61.42% ; MEM: 7640.41 
iteration: 304 ; CPU: 60.22% ; MEM: 7640.67 
iteration: 305 ; CPU: 60.47% ; MEM: 7640.67 
iteration: 306 ; CPU: 60.84% ; MEM: 7640.67 
iteration: 307 ; CPU: 61.07% ; MEM: 7640.67 
iteration: 308 ; CPU: 61.35% ; MEM: 7640.67 
iteration: 309 ; CPU: 61.62% ; MEM: 7640.67 
iteration: 310 ; CPU: 60.47% ; MEM: 7698.39 
iteration: 311 ; CPU: 60.76% ; MEM: 7713.07 
iteration: 312 ; CPU: 61.02% ; MEM: 7726.83 
iteration: 313 ; CPU: 61.32% ; MEM: 7739.13 
iteration: 314 ; CPU: 61.58% ; MEM: 7757.54 
iteration: 315 ; CPU: 66.69% ; MEM: 7782.83 
iteration: 316 ; CPU: 68.61% ; MEM: 7783.12 
iteration: 317 ; CPU: 70.44% ; MEM: 7801.51 
iteration: 318 ; CPU: 72.87% ; MEM: 7835.95 
iteration: 319 ; CPU: 76.65% ; MEM: 7874.75 
iteration: 320 ; CPU: 69.18% ; MEM: 7889.26 
iteration: 321 ; CPU: 70.40% ; MEM: 7919.66 
iteration: 322 ; CPU: 72.16% ; MEM: 7927.64 
iteration: 323 ; CPU: 73.97% ; MEM: 7941.61 
iteration: 324 ; CPU: 75.22% ; MEM: 7958.81 
iteration: 325 ; CPU: 69.97% ; MEM: 7959.55 
iteration: 326 ; CPU: 70.55% ; MEM: 7969.63 
iteration: 327 ; CPU: 71.23% ; MEM: 7964.35 
iteration: 328 ; CPU: 72.05% ; MEM: 7969.91 
iteration: 329 ; CPU: 72.60% ; MEM: 7968.04 
iteration: 330 ; CPU: 73.24% ; MEM: 7967.27 
iteration: 331 ; CPU: 69.47% ; MEM: 7967.59 
iteration: 332 ; CPU: 69.95% ; MEM: 7968.41 
iteration: 333 ; CPU: 70.35% ; MEM: 7979.80 
iteration: 334 ; CPU: 70.90% ; MEM: 7982.17 
iteration: 335 ; CPU: 71.39% ; MEM: 7990.61 
iteration: 336 ; CPU: 68.67% ; MEM: 7996.59 
iteration: 337 ; CPU: 69.00% ; MEM: 7999.32 
iteration: 338 ; CPU: 69.35% ; MEM: 8000.30 
iteration: 339 ; CPU: 69.75% ; MEM: 8001.35 
iteration: 340 ; CPU: 70.08% ; MEM: 8009.72 
iteration: 341 ; CPU: 67.88% ; MEM: 8010.01 
iteration: 342 ; CPU: 68.24% ; MEM: 8010.03 
iteration: 343 ; CPU: 68.53% ; MEM: 8010.57 
iteration: 344 ; CPU: 68.85% ; MEM: 8010.57 
iteration: 345 ; CPU: 69.18% ; MEM: 8010.57 
iteration: 346 ; CPU: 67.23% ; MEM: 8010.82 
iteration: 347 ; CPU: 67.60% ; MEM: 8010.87 
iteration: 348 ; CPU: 67.89% ; MEM: 8010.87 
iteration: 349 ; CPU: 68.29% ; MEM: 8012.42 
iteration: 350 ; CPU: 68.64% ; MEM: 8008.46 
iteration: 351 ; CPU: 67.10% ; MEM: 8020.40 
iteration: 352 ; CPU: 67.45% ; MEM: 8021.16 
iteration: 353 ; CPU: 67.75% ; MEM: 8021.16 
iteration: 354 ; CPU: 68.02% ; MEM: 8021.23 
iteration: 355 ; CPU: 68.33% ; MEM: 8021.23 
iteration: 356 ; CPU: 66.85% ; MEM: 8026.64 
iteration: 357 ; CPU: 67.15% ; MEM: 8028.45 
iteration: 358 ; CPU: 67.44% ; MEM: 8028.45 
iteration: 359 ; CPU: 67.70% ; MEM: 8028.45 
iteration: 360 ; CPU: 67.94% ; MEM: 8028.44 
iteration: 361 ; CPU: 68.25% ; MEM: 8028.43 
iteration: 362 ; CPU: 66.79% ; MEM: 8018.68 
iteration: 363 ; CPU: 67.05% ; MEM: 8018.67 
iteration: 364 ; CPU: 67.34% ; MEM: 8018.67 
iteration: 365 ; CPU: 67.58% ; MEM: 8018.67 
iteration: 366 ; CPU: 67.88% ; MEM: 8018.67 
iteration: 367 ; CPU: 66.48% ; MEM: 8023.92 
iteration: 368 ; CPU: 66.75% ; MEM: 8023.92 
iteration: 369 ; CPU: 66.98% ; MEM: 8023.92 
iteration: 370 ; CPU: 67.24% ; MEM: 8024.15 
iteration: 371 ; CPU: 67.50% ; MEM: 8024.15 
iteration: 372 ; CPU: 67.77% ; MEM: 8024.15 
iteration: 373 ; CPU: 66.46% ; MEM: 8024.15 
iteration: 374 ; CPU: 66.76% ; MEM: 8024.15 
iteration: 375 ; CPU: 66.95% ; MEM: 8024.15 
iteration: 376 ; CPU: 67.18% ; MEM: 8024.15 
iteration: 377 ; CPU: 67.50% ; MEM: 8024.15 
iteration: 378 ; CPU: 66.25% ; MEM: 8024.14 
iteration: 379 ; CPU: 66.49% ; MEM: 8024.14 
iteration: 380 ; CPU: 66.74% ; MEM: 8024.14 
iteration: 381 ; CPU: 66.98% ; MEM: 8024.14 
iteration: 382 ; CPU: 67.30% ; MEM: 8024.14 
iteration: 383 ; CPU: 66.10% ; MEM: 8024.14 
iteration: 384 ; CPU: 66.36% ; MEM: 8024.14 
iteration: 385 ; CPU: 66.59% ; MEM: 8024.63 
iteration: 386 ; CPU: 66.79% ; MEM: 8024.63 
iteration: 387 ; CPU: 67.05% ; MEM: 8024.63 
iteration: 388 ; CPU: 67.31% ; MEM: 8024.63 
iteration: 389 ; CPU: 66.16% ; MEM: 8024.63 
iteration: 390 ; CPU: 66.41% ; MEM: 8024.87 
iteration: 391 ; CPU: 66.61% ; MEM: 8024.87 
iteration: 392 ; CPU: 66.84% ; MEM: 8024.87 
iteration: 393 ; CPU: 67.11% ; MEM: 8024.87 
iteration: 394 ; CPU: 65.98% ; MEM: 8024.87 
iteration: 395 ; CPU: 66.20% ; MEM: 8025.13 
iteration: 396 ; CPU: 66.42% ; MEM: 8025.13 
iteration: 397 ; CPU: 66.63% ; MEM: 8025.13 
iteration: 398 ; CPU: 66.89% ; MEM: 8025.13 
iteration: 399 ; CPU: 67.12% ; MEM: 8025.13 
iteration: 400 ; CPU: 66.07% ; MEM: 8025.13 
iteration: 401 ; CPU: 66.31% ; MEM: 8025.13 
iteration: 402 ; CPU: 66.54% ; MEM: 8025.13 
iteration: 403 ; CPU: 66.74% ; MEM: 8025.13 
iteration: 404 ; CPU: 66.98% ; MEM: 8025.13 
iteration: 405 ; CPU: 65.95% ; MEM: 8025.13 
iteration: 406 ; CPU: 66.18% ; MEM: 8025.13 
iteration: 407 ; CPU: 66.40% ; MEM: 8025.13 
iteration: 408 ; CPU: 66.63% ; MEM: 8025.13 
iteration: 409 ; CPU: 66.83% ; MEM: 8025.13 
iteration: 410 ; CPU: 67.03% ; MEM: 8025.13 
iteration: 411 ; CPU: 66.02% ; MEM: 8025.13 
iteration: 412 ; CPU: 66.25% ; MEM: 8025.13 
iteration: 413 ; CPU: 66.47% ; MEM: 8025.13 
iteration: 414 ; CPU: 66.73% ; MEM: 8025.11 
iteration: 415 ; CPU: 66.93% ; MEM: 8025.11 
iteration: 416 ; CPU: 65.96% ; MEM: 8025.11 
iteration: 417 ; CPU: 66.15% ; MEM: 8025.11 
iteration: 418 ; CPU: 66.38% ; MEM: 8025.11 
iteration: 419 ; CPU: 66.63% ; MEM: 8025.11 
iteration: 420 ; CPU: 66.84% ; MEM: 8025.11 
iteration: 421 ; CPU: 67.01% ; MEM: 8025.11 
iteration: 422 ; CPU: 66.09% ; MEM: 8025.11 
iteration: 423 ; CPU: 66.26% ; MEM: 8025.11 
iteration: 424 ; CPU: 66.50% ; MEM: 8025.11 
iteration: 425 ; CPU: 66.72% ; MEM: 8025.11 
iteration: 426 ; CPU: 66.93% ; MEM: 8025.11 
iteration: 427 ; CPU: 66.01% ; MEM: 8025.11 
iteration: 428 ; CPU: 66.24% ; MEM: 8025.11 
iteration: 429 ; CPU: 66.44% ; MEM: 8025.11 
iteration: 430 ; CPU: 66.66% ; MEM: 8025.11 
iteration: 431 ; CPU: 66.87% ; MEM: 8025.11 
iteration: 432 ; CPU: 67.13% ; MEM: 8025.11 
iteration: 433 ; CPU: 66.18% ; MEM: 8025.11 
iteration: 434 ; CPU: 66.40% ; MEM: 8025.11 
iteration: 435 ; CPU: 66.64% ; MEM: 8025.11 
iteration: 436 ; CPU: 66.80% ; MEM: 8025.11 
iteration: 437 ; CPU: 67.00% ; MEM: 8025.11 
iteration: 438 ; CPU: 66.11% ; MEM: 8025.11 
iteration: 439 ; CPU: 66.32% ; MEM: 8025.11 
iteration: 440 ; CPU: 66.56% ; MEM: 8025.15 
iteration: 441 ; CPU: 66.76% ; MEM: 8025.15 
iteration: 442 ; CPU: 66.93% ; MEM: 8025.15 
iteration: 443 ; CPU: 66.07% ; MEM: 8025.15 
iteration: 444 ; CPU: 66.25% ; MEM: 8025.15 
iteration: 445 ; CPU: 66.48% ; MEM: 8025.15 
iteration: 446 ; CPU: 66.70% ; MEM: 8025.39 
iteration: 447 ; CPU: 66.86% ; MEM: 8025.38 
iteration: 448 ; CPU: 67.08% ; MEM: 8025.38 
iteration: 449 ; CPU: 66.24% ; MEM: 8025.38 
iteration: 450 ; CPU: 66.42% ; MEM: 8025.38 
iteration: 451 ; CPU: 66.63% ; MEM: 8025.78 
iteration: 452 ; CPU: 66.85% ; MEM: 8025.78 
iteration: 453 ; CPU: 67.02% ; MEM: 8025.94 
iteration: 454 ; CPU: 66.17% ; MEM: 8025.94 
iteration: 455 ; CPU: 66.40% ; MEM: 8025.94 
iteration: 456 ; CPU: 66.56% ; MEM: 8025.94 
iteration: 457 ; CPU: 66.75% ; MEM: 8025.94 
iteration: 458 ; CPU: 66.94% ; MEM: 8025.94 
iteration: 459 ; CPU: 67.16% ; MEM: 8025.94 
iteration: 460 ; CPU: 66.35% ; MEM: 8025.94 
