ROS Processes Log
iteration: 188 ; CPU: 59.08% ; MEM: 8528.06 MB
iteration: 189 ; CPU: 59.66% ; MEM: 8528.06 MB
iteration: 190 ; CPU: 60.12% ; MEM: 8529.05 MB
iteration: 191 ; CPU: 60.81% ; MEM: 8530.35 MB
iteration: 192 ; CPU: 61.42% ; MEM: 8546.85 MB
iteration: 193 ; CPU: 62.06% ; MEM: 8548.40 MB
iteration: 194 ; CPU: 59.49% ; MEM: 8550.21 MB
iteration: 195 ; CPU: 60.02% ; MEM: 8550.72 MB
iteration: 196 ; CPU: 60.57% ; MEM: 8550.72 MB
iteration: 197 ; CPU: 61.12% ; MEM: 8583.89 MB
iteration: 198 ; CPU: 61.70% ; MEM: 8621.26 MB
iteration: 199 ; CPU: 72.37% ; MEM: 8639.98 MB
iteration: 200 ; CPU: 73.83% ; MEM: 8640.48 MB
iteration: 201 ; CPU: 75.52% ; MEM: 8640.88 MB
iteration: 202 ; CPU: 68.78% ; MEM: 8539.27 MB
iteration: 203 ; CPU: 61.08% ; MEM: 8529.81 MB
iteration: 204 ; CPU: 61.11% ; MEM: 8486.61 MB
iteration: 205 ; CPU: 64.88% ; MEM: 8442.76 MB
iteration: 206 ; CPU: 65.77% ; MEM: 8408.53 MB
iteration: 207 ; CPU: 66.77% ; MEM: 8408.59 MB
iteration: 208 ; CPU: 59.40% ; MEM: 8352.60 MB
iteration: 209 ; CPU: 59.80% ; MEM: 8421.82 MB
iteration: 210 ; CPU: 79.05% ; MEM: 8454.31 MB
iteration: 211 ; CPU: 79.71% ; MEM: 8457.06 MB
iteration: 212 ; CPU: 80.39% ; MEM: 8354.73 MB
iteration: 213 ; CPU: 82.02% ; MEM: 8354.88 MB
iteration: 214 ; CPU: 73.51% ; MEM: 8254.91 MB
iteration: 215 ; CPU: 69.52% ; MEM: 8171.82 MB
iteration: 216 ; CPU: 70.97% ; MEM: 8192.57 MB
iteration: 217 ; CPU: 71.85% ; MEM: 8183.96 MB
iteration: 218 ; CPU: 73.39% ; MEM: 8155.57 MB
iteration: 219 ; CPU: 65.53% ; MEM: 8067.28 MB
iteration: 220 ; CPU: 57.52% ; MEM: 8035.36 MB
iteration: 221 ; CPU: 79.31% ; MEM: 8036.02 MB
iteration: 222 ; CPU: 71.32% ; MEM: 7951.54 MB
iteration: 223 ; CPU: 72.95% ; MEM: 7951.60 MB
iteration: 224 ; CPU: 74.26% ; MEM: 7882.58 MB
iteration: 225 ; CPU: 76.05% ; MEM: 7882.72 MB
iteration: 226 ; CPU: 53.97% ; MEM: 7704.89 MB
iteration: 227 ; CPU: 54.42% ; MEM: 7704.89 MB
iteration: 228 ; CPU: 54.90% ; MEM: 7704.89 MB
iteration: 229 ; CPU: 55.35% ; MEM: 7704.89 MB
iteration: 230 ; CPU: 55.72% ; MEM: 7745.57 MB
iteration: 231 ; CPU: 56.18% ; MEM: 7749.42 MB
iteration: 232 ; CPU: 61.02% ; MEM: 7749.44 MB
iteration: 233 ; CPU: 61.45% ; MEM: 7749.49 MB
iteration: 234 ; CPU: 61.85% ; MEM: 7715.14 MB
iteration: 235 ; CPU: 62.81% ; MEM: 7715.19 MB
iteration: 236 ; CPU: 55.74% ; MEM: 7626.58 MB
iteration: 237 ; CPU: 56.19% ; MEM: 7626.58 MB
iteration: 238 ; CPU: 54.57% ; MEM: 7626.58 MB
iteration: 239 ; CPU: 54.99% ; MEM: 7626.58 MB
iteration: 240 ; CPU: 55.41% ; MEM: 7626.58 MB
iteration: 241 ; CPU: 55.79% ; MEM: 7626.58 MB
iteration: 242 ; CPU: 56.20% ; MEM: 7626.59 MB
iteration: 243 ; CPU: 56.65% ; MEM: 7626.59 MB
iteration: 244 ; CPU: 55.10% ; MEM: 7626.59 MB
iteration: 245 ; CPU: 55.50% ; MEM: 7626.59 MB
iteration: 246 ; CPU: 55.91% ; MEM: 7627.10 MB
iteration: 247 ; CPU: 56.33% ; MEM: 7627.10 MB
iteration: 248 ; CPU: 56.71% ; MEM: 7627.10 MB
iteration: 249 ; CPU: 57.12% ; MEM: 7627.10 MB
iteration: 250 ; CPU: 55.61% ; MEM: 7627.11 MB
iteration: 251 ; CPU: 56.00% ; MEM: 7627.11 MB
iteration: 252 ; CPU: 56.40% ; MEM: 7627.11 MB
iteration: 253 ; CPU: 56.76% ; MEM: 7627.11 MB
iteration: 254 ; CPU: 57.15% ; MEM: 7627.11 MB
iteration: 255 ; CPU: 57.51% ; MEM: 7627.11 MB
iteration: 256 ; CPU: 56.08% ; MEM: 7627.11 MB
iteration: 257 ; CPU: 56.42% ; MEM: 7627.11 MB
iteration: 258 ; CPU: 56.80% ; MEM: 7627.11 MB
iteration: 259 ; CPU: 57.22% ; MEM: 7627.11 MB
iteration: 260 ; CPU: 57.52% ; MEM: 7627.11 MB
iteration: 261 ; CPU: 57.92% ; MEM: 7627.11 MB
iteration: 262 ; CPU: 56.41% ; MEM: 7627.11 MB
iteration: 263 ; CPU: 56.80% ; MEM: 7627.37 MB
iteration: 264 ; CPU: 57.17% ; MEM: 7627.62 MB
iteration: 265 ; CPU: 57.49% ; MEM: 7627.62 MB
iteration: 266 ; CPU: 57.86% ; MEM: 7627.62 MB
iteration: 267 ; CPU: 58.21% ; MEM: 7627.62 MB
iteration: 268 ; CPU: 56.81% ; MEM: 7627.62 MB
iteration: 269 ; CPU: 57.17% ; MEM: 7627.62 MB
iteration: 270 ; CPU: 57.52% ; MEM: 7627.62 MB
iteration: 271 ; CPU: 57.87% ; MEM: 7627.62 MB
iteration: 272 ; CPU: 58.25% ; MEM: 7627.62 MB
iteration: 273 ; CPU: 58.57% ; MEM: 7627.62 MB
iteration: 274 ; CPU: 57.20% ; MEM: 7627.62 MB
iteration: 275 ; CPU: 57.53% ; MEM: 7627.62 MB
iteration: 276 ; CPU: 57.86% ; MEM: 7627.62 MB
iteration: 277 ; CPU: 58.20% ; MEM: 7627.62 MB
iteration: 278 ; CPU: 58.55% ; MEM: 7627.62 MB
iteration: 279 ; CPU: 58.89% ; MEM: 7627.88 MB
iteration: 280 ; CPU: 57.59% ; MEM: 7628.14 MB
iteration: 281 ; CPU: 57.89% ; MEM: 7628.14 MB
iteration: 282 ; CPU: 58.22% ; MEM: 7628.14 MB
iteration: 283 ; CPU: 58.50% ; MEM: 7628.14 MB
iteration: 284 ; CPU: 58.85% ; MEM: 7628.14 MB
iteration: 285 ; CPU: 59.15% ; MEM: 7628.14 MB
iteration: 286 ; CPU: 57.82% ; MEM: 7628.14 MB
iteration: 287 ; CPU: 58.11% ; MEM: 7628.14 MB
iteration: 288 ; CPU: 58.47% ; MEM: 7628.14 MB
iteration: 289 ; CPU: 58.74% ; MEM: 7631.23 MB
iteration: 290 ; CPU: 59.08% ; MEM: 7631.23 MB
iteration: 291 ; CPU: 59.42% ; MEM: 7631.23 MB
iteration: 292 ; CPU: 58.09% ; MEM: 7631.23 MB
iteration: 293 ; CPU: 58.43% ; MEM: 7631.23 MB
iteration: 294 ; CPU: 58.72% ; MEM: 7634.33 MB
iteration: 295 ; CPU: 59.04% ; MEM: 7634.39 MB
iteration: 296 ; CPU: 59.33% ; MEM: 7634.39 MB
iteration: 297 ; CPU: 59.63% ; MEM: 7634.39 MB
iteration: 298 ; CPU: 58.41% ; MEM: 7634.39 MB
iteration: 299 ; CPU: 58.69% ; MEM: 7634.65 MB
iteration: 300 ; CPU: 59.00% ; MEM: 7634.65 MB
iteration: 301 ; CPU: 59.28% ; MEM: 7634.65 MB
iteration: 302 ; CPU: 59.56% ; MEM: 7634.65 MB
iteration: 303 ; CPU: 59.87% ; MEM: 7634.65 MB
iteration: 304 ; CPU: 58.64% ; MEM: 7634.65 MB
iteration: 305 ; CPU: 58.90% ; MEM: 7634.65 MB
iteration: 306 ; CPU: 59.24% ; MEM: 7634.65 MB
iteration: 307 ; CPU: 59.52% ; MEM: 7634.65 MB
iteration: 308 ; CPU: 59.84% ; MEM: 7634.65 MB
iteration: 309 ; CPU: 60.09% ; MEM: 7634.65 MB
iteration: 310 ; CPU: 58.87% ; MEM: 7634.65 MB
iteration: 311 ; CPU: 59.18% ; MEM: 7634.65 MB
iteration: 312 ; CPU: 59.45% ; MEM: 7634.65 MB
iteration: 313 ; CPU: 59.74% ; MEM: 7634.65 MB
iteration: 314 ; CPU: 60.03% ; MEM: 7634.65 MB
iteration: 315 ; CPU: 60.31% ; MEM: 7634.65 MB
iteration: 316 ; CPU: 59.14% ; MEM: 7634.65 MB
iteration: 317 ; CPU: 59.40% ; MEM: 7634.65 MB
iteration: 318 ; CPU: 59.66% ; MEM: 7634.65 MB
iteration: 319 ; CPU: 59.95% ; MEM: 7634.65 MB
iteration: 320 ; CPU: 60.22% ; MEM: 7634.65 MB
iteration: 321 ; CPU: 60.53% ; MEM: 7634.65 MB
iteration: 322 ; CPU: 59.35% ; MEM: 7634.91 MB
iteration: 323 ; CPU: 59.58% ; MEM: 7634.91 MB
iteration: 324 ; CPU: 59.90% ; MEM: 7634.91 MB
iteration: 325 ; CPU: 60.14% ; MEM: 7634.91 MB
iteration: 326 ; CPU: 60.41% ; MEM: 7634.91 MB
iteration: 327 ; CPU: 60.65% ; MEM: 7634.91 MB
iteration: 328 ; CPU: 59.53% ; MEM: 7634.91 MB
iteration: 329 ; CPU: 59.78% ; MEM: 7634.91 MB
iteration: 330 ; CPU: 60.03% ; MEM: 7634.91 MB
iteration: 331 ; CPU: 60.30% ; MEM: 7634.91 MB
iteration: 332 ; CPU: 60.59% ; MEM: 7634.91 MB
iteration: 333 ; CPU: 60.83% ; MEM: 7634.91 MB
iteration: 334 ; CPU: 59.72% ; MEM: 7634.91 MB
iteration: 335 ; CPU: 60.02% ; MEM: 7634.91 MB
iteration: 336 ; CPU: 60.27% ; MEM: 7634.91 MB
iteration: 337 ; CPU: 60.56% ; MEM: 7634.91 MB
iteration: 338 ; CPU: 60.82% ; MEM: 7634.91 MB
iteration: 339 ; CPU: 59.75% ; MEM: 7634.91 MB
iteration: 340 ; CPU: 60.06% ; MEM: 7634.91 MB
iteration: 341 ; CPU: 60.30% ; MEM: 7634.91 MB
iteration: 342 ; CPU: 60.61% ; MEM: 7634.92 MB
iteration: 343 ; CPU: 60.90% ; MEM: 7634.92 MB
iteration: 344 ; CPU: 59.83% ; MEM: 7634.92 MB
iteration: 345 ; CPU: 60.11% ; MEM: 7634.92 MB
iteration: 346 ; CPU: 60.36% ; MEM: 7634.92 MB
iteration: 347 ; CPU: 60.65% ; MEM: 7634.92 MB
iteration: 348 ; CPU: 60.93% ; MEM: 7634.92 MB
iteration: 349 ; CPU: 61.22% ; MEM: 7634.92 MB
iteration: 350 ; CPU: 60.18% ; MEM: 7634.92 MB
iteration: 351 ; CPU: 60.44% ; MEM: 7634.92 MB
iteration: 352 ; CPU: 60.70% ; MEM: 7634.92 MB
iteration: 353 ; CPU: 60.95% ; MEM: 7634.92 MB
iteration: 354 ; CPU: 61.23% ; MEM: 7634.92 MB
iteration: 355 ; CPU: 60.21% ; MEM: 7634.92 MB
iteration: 356 ; CPU: 60.46% ; MEM: 7634.92 MB
iteration: 357 ; CPU: 60.73% ; MEM: 7634.92 MB
iteration: 358 ; CPU: 60.96% ; MEM: 7634.92 MB
iteration: 359 ; CPU: 61.19% ; MEM: 7634.92 MB
iteration: 360 ; CPU: 61.45% ; MEM: 7634.92 MB
iteration: 361 ; CPU: 60.42% ; MEM: 7671.97 MB
iteration: 362 ; CPU: 60.70% ; MEM: 7694.73 MB
iteration: 363 ; CPU: 60.96% ; MEM: 7709.83 MB
iteration: 364 ; CPU: 61.22% ; MEM: 7722.08 MB
iteration: 365 ; CPU: 61.45% ; MEM: 7737.72 MB
iteration: 366 ; CPU: 65.75% ; MEM: 7752.76 MB
iteration: 367 ; CPU: 67.86% ; MEM: 7780.58 MB
iteration: 368 ; CPU: 69.46% ; MEM: 7782.20 MB
iteration: 369 ; CPU: 71.49% ; MEM: 7798.14 MB
iteration: 370 ; CPU: 74.25% ; MEM: 7840.48 MB
iteration: 371 ; CPU: 68.57% ; MEM: 7870.96 MB
iteration: 372 ; CPU: 69.72% ; MEM: 7892.59 MB
iteration: 373 ; CPU: 71.06% ; MEM: 7921.00 MB
iteration: 374 ; CPU: 72.88% ; MEM: 7934.03 MB
iteration: 375 ; CPU: 74.23% ; MEM: 7954.22 MB
