Java Processes Log
iteration: 493 ; CPU: 4.62% ; MEM: 815.89 MB
iteration: 494 ; CPU: 4.63% ; MEM: 815.89 MB
iteration: 495 ; CPU: 4.64% ; MEM: 815.89 MB
iteration: 496 ; CPU: 4.65% ; MEM: 815.89 MB
iteration: 497 ; CPU: 4.50% ; MEM: 815.89 MB
iteration: 498 ; CPU: 4.51% ; MEM: 815.89 MB
iteration: 499 ; CPU: 4.52% ; MEM: 815.89 MB
iteration: 500 ; CPU: 4.54% ; MEM: 816.03 MB
iteration: 501 ; CPU: 4.55% ; MEM: 816.03 MB
iteration: 502 ; CPU: 4.40% ; MEM: 816.03 MB
iteration: 503 ; CPU: 4.41% ; MEM: 816.10 MB
iteration: 504 ; CPU: 4.43% ; MEM: 816.10 MB
iteration: 505 ; CPU: 4.44% ; MEM: 816.10 MB
iteration: 506 ; CPU: 4.45% ; MEM: 816.10 MB
iteration: 507 ; CPU: 4.31% ; MEM: 816.10 MB
iteration: 508 ; CPU: 4.32% ; MEM: 816.10 MB
iteration: 509 ; CPU: 4.33% ; MEM: 816.10 MB
iteration: 510 ; CPU: 4.34% ; MEM: 816.10 MB
iteration: 511 ; CPU: 4.35% ; MEM: 816.10 MB
iteration: 512 ; CPU: 4.36% ; MEM: 816.35 MB
iteration: 513 ; CPU: 4.24% ; MEM: 816.35 MB
iteration: 514 ; CPU: 4.25% ; MEM: 816.35 MB
iteration: 515 ; CPU: 4.25% ; MEM: 816.35 MB
iteration: 516 ; CPU: 4.26% ; MEM: 816.35 MB
iteration: 517 ; CPU: 4.28% ; MEM: 816.35 MB
iteration: 518 ; CPU: 4.15% ; MEM: 816.35 MB
iteration: 519 ; CPU: 4.16% ; MEM: 816.35 MB
iteration: 520 ; CPU: 4.17% ; MEM: 816.35 MB
iteration: 521 ; CPU: 4.18% ; MEM: 816.35 MB
iteration: 522 ; CPU: 4.20% ; MEM: 816.35 MB
iteration: 523 ; CPU: 4.08% ; MEM: 816.35 MB
iteration: 524 ; CPU: 4.09% ; MEM: 816.35 MB
iteration: 525 ; CPU: 4.10% ; MEM: 816.35 MB
iteration: 526 ; CPU: 4.11% ; MEM: 816.35 MB
iteration: 527 ; CPU: 4.11% ; MEM: 816.37 MB
iteration: 528 ; CPU: 4.13% ; MEM: 816.37 MB
iteration: 529 ; CPU: 4.01% ; MEM: 816.37 MB
iteration: 530 ; CPU: 4.02% ; MEM: 816.37 MB
iteration: 531 ; CPU: 4.03% ; MEM: 816.37 MB
iteration: 532 ; CPU: 4.04% ; MEM: 816.63 MB
iteration: 533 ; CPU: 4.05% ; MEM: 816.72 MB
iteration: 534 ; CPU: 3.94% ; MEM: 816.72 MB
iteration: 535 ; CPU: 3.95% ; MEM: 816.72 MB
iteration: 536 ; CPU: 3.96% ; MEM: 816.72 MB
iteration: 537 ; CPU: 3.97% ; MEM: 816.72 MB
iteration: 538 ; CPU: 3.97% ; MEM: 816.72 MB
iteration: 539 ; CPU: 3.87% ; MEM: 816.98 MB
iteration: 540 ; CPU: 3.88% ; MEM: 816.98 MB
iteration: 541 ; CPU: 3.89% ; MEM: 816.98 MB
iteration: 542 ; CPU: 3.90% ; MEM: 816.98 MB
iteration: 543 ; CPU: 3.91% ; MEM: 816.98 MB
iteration: 544 ; CPU: 3.81% ; MEM: 816.98 MB
iteration: 545 ; CPU: 3.82% ; MEM: 816.98 MB
iteration: 546 ; CPU: 3.83% ; MEM: 816.98 MB
iteration: 547 ; CPU: 3.83% ; MEM: 816.98 MB
iteration: 548 ; CPU: 3.84% ; MEM: 816.98 MB
iteration: 549 ; CPU: 3.85% ; MEM: 816.98 MB
iteration: 550 ; CPU: 3.75% ; MEM: 816.98 MB
iteration: 551 ; CPU: 3.76% ; MEM: 816.98 MB
iteration: 552 ; CPU: 3.77% ; MEM: 816.98 MB
iteration: 553 ; CPU: 3.78% ; MEM: 816.98 MB
iteration: 554 ; CPU: 3.79% ; MEM: 816.98 MB
iteration: 555 ; CPU: 3.70% ; MEM: 817.13 MB
iteration: 556 ; CPU: 3.70% ; MEM: 817.13 MB
iteration: 557 ; CPU: 3.71% ; MEM: 817.13 MB
iteration: 558 ; CPU: 3.72% ; MEM: 817.13 MB
iteration: 559 ; CPU: 3.73% ; MEM: 817.13 MB
iteration: 560 ; CPU: 3.65% ; MEM: 817.13 MB
iteration: 561 ; CPU: 3.66% ; MEM: 817.13 MB
iteration: 562 ; CPU: 3.67% ; MEM: 817.13 MB
iteration: 563 ; CPU: 3.68% ; MEM: 817.13 MB
iteration: 564 ; CPU: 3.68% ; MEM: 817.13 MB
iteration: 565 ; CPU: 3.69% ; MEM: 817.13 MB
iteration: 566 ; CPU: 3.61% ; MEM: 817.13 MB
iteration: 567 ; CPU: 3.61% ; MEM: 817.13 MB
iteration: 568 ; CPU: 3.62% ; MEM: 817.15 MB
iteration: 569 ; CPU: 3.63% ; MEM: 817.15 MB
iteration: 570 ; CPU: 3.64% ; MEM: 817.15 MB
iteration: 571 ; CPU: 3.56% ; MEM: 817.39 MB
iteration: 572 ; CPU: 3.57% ; MEM: 817.39 MB
iteration: 573 ; CPU: 3.58% ; MEM: 817.39 MB
iteration: 574 ; CPU: 3.59% ; MEM: 817.39 MB
iteration: 575 ; CPU: 3.59% ; MEM: 817.39 MB
iteration: 576 ; CPU: 3.51% ; MEM: 817.39 MB
iteration: 577 ; CPU: 3.52% ; MEM: 817.39 MB
iteration: 578 ; CPU: 3.53% ; MEM: 817.58 MB
iteration: 579 ; CPU: 3.54% ; MEM: 817.58 MB
iteration: 580 ; CPU: 3.54% ; MEM: 817.58 MB
iteration: 581 ; CPU: 3.47% ; MEM: 817.58 MB
iteration: 582 ; CPU: 3.48% ; MEM: 817.58 MB
iteration: 583 ; CPU: 3.49% ; MEM: 817.58 MB
iteration: 584 ; CPU: 3.49% ; MEM: 817.58 MB
iteration: 585 ; CPU: 3.50% ; MEM: 817.58 MB
iteration: 586 ; CPU: 3.51% ; MEM: 817.58 MB
iteration: 587 ; CPU: 3.43% ; MEM: 817.58 MB
iteration: 588 ; CPU: 3.44% ; MEM: 817.58 MB
iteration: 589 ; CPU: 3.45% ; MEM: 817.58 MB
iteration: 590 ; CPU: 3.46% ; MEM: 817.58 MB
iteration: 591 ; CPU: 3.48% ; MEM: 817.58 MB
iteration: 592 ; CPU: 3.41% ; MEM: 817.58 MB
iteration: 593 ; CPU: 3.42% ; MEM: 817.58 MB
iteration: 594 ; CPU: 3.43% ; MEM: 817.58 MB
iteration: 595 ; CPU: 3.44% ; MEM: 817.58 MB
