ROS Processes Log
iteration: 266 ; CPU: 59.29% ; MEM: 7628.87 MB
iteration: 267 ; CPU: 59.60% ; MEM: 7628.87 MB
iteration: 268 ; CPU: 59.94% ; MEM: 7628.87 MB
iteration: 269 ; CPU: 60.25% ; MEM: 7628.87 MB
iteration: 270 ; CPU: 60.59% ; MEM: 7628.87 MB
iteration: 271 ; CPU: 59.22% ; MEM: 7628.87 MB
iteration: 272 ; CPU: 59.55% ; MEM: 7628.87 MB
iteration: 273 ; CPU: 59.83% ; MEM: 7628.87 MB
iteration: 274 ; CPU: 60.15% ; MEM: 7629.12 MB
iteration: 275 ; CPU: 60.50% ; MEM: 7629.12 MB
iteration: 276 ; CPU: 60.88% ; MEM: 7629.38 MB
iteration: 277 ; CPU: 59.49% ; MEM: 7629.38 MB
iteration: 278 ; CPU: 59.83% ; MEM: 7629.64 MB
iteration: 279 ; CPU: 60.17% ; MEM: 7629.64 MB
iteration: 280 ; CPU: 60.48% ; MEM: 7632.99 MB
iteration: 281 ; CPU: 60.84% ; MEM: 7636.08 MB
iteration: 282 ; CPU: 59.57% ; MEM: 7636.08 MB
iteration: 283 ; CPU: 59.90% ; MEM: 7636.08 MB
iteration: 284 ; CPU: 60.21% ; MEM: 7636.08 MB
iteration: 285 ; CPU: 60.55% ; MEM: 7636.08 MB
iteration: 286 ; CPU: 60.90% ; MEM: 7636.08 MB
iteration: 287 ; CPU: 61.25% ; MEM: 7636.08 MB
iteration: 288 ; CPU: 59.99% ; MEM: 7636.08 MB
iteration: 289 ; CPU: 60.31% ; MEM: 7636.08 MB
iteration: 290 ; CPU: 60.63% ; MEM: 7636.08 MB
iteration: 291 ; CPU: 60.94% ; MEM: 7636.08 MB
iteration: 292 ; CPU: 61.34% ; MEM: 7636.08 MB
iteration: 293 ; CPU: 60.08% ; MEM: 7636.08 MB
iteration: 294 ; CPU: 60.39% ; MEM: 7636.08 MB
iteration: 295 ; CPU: 60.71% ; MEM: 7636.08 MB
iteration: 296 ; CPU: 61.01% ; MEM: 7636.08 MB
iteration: 297 ; CPU: 61.40% ; MEM: 7636.34 MB
iteration: 298 ; CPU: 60.18% ; MEM: 7636.34 MB
