ROS Processes Log
iteration: 154 ; CPU: 68.47% ; MEM: 8700.76 MB
iteration: 155 ; CPU: 68.49% ; MEM: 8700.76 MB
iteration: 156 ; CPU: 68.53% ; MEM: 8700.97 MB
iteration: 157 ; CPU: 68.56% ; MEM: 8701.21 MB
iteration: 158 ; CPU: 68.61% ; MEM: 8701.56 MB
iteration: 159 ; CPU: 68.67% ; MEM: 8705.52 MB
iteration: 160 ; CPU: 68.69% ; MEM: 8705.62 MB
iteration: 161 ; CPU: 68.71% ; MEM: 8705.71 MB
iteration: 162 ; CPU: 68.77% ; MEM: 8705.73 MB
iteration: 163 ; CPU: 68.79% ; MEM: 8705.73 MB
iteration: 164 ; CPU: 68.43% ; MEM: 8705.82 MB
iteration: 165 ; CPU: 68.45% ; MEM: 8705.82 MB
iteration: 166 ; CPU: 68.49% ; MEM: 8705.91 MB
iteration: 167 ; CPU: 68.54% ; MEM: 8705.91 MB
iteration: 168 ; CPU: 68.57% ; MEM: 8705.91 MB
iteration: 169 ; CPU: 68.60% ; MEM: 8705.91 MB
iteration: 170 ; CPU: 68.66% ; MEM: 8705.91 MB
iteration: 171 ; CPU: 68.67% ; MEM: 8705.91 MB
iteration: 172 ; CPU: 68.70% ; MEM: 8705.91 MB
iteration: 173 ; CPU: 68.73% ; MEM: 8705.91 MB
iteration: 174 ; CPU: 68.76% ; MEM: 8705.94 MB
iteration: 175 ; CPU: 68.79% ; MEM: 8705.94 MB
iteration: 176 ; CPU: 68.85% ; MEM: 8705.94 MB
iteration: 177 ; CPU: 68.89% ; MEM: 8705.94 MB
iteration: 178 ; CPU: 68.58% ; MEM: 8705.94 MB
iteration: 179 ; CPU: 68.62% ; MEM: 8706.19 MB
iteration: 180 ; CPU: 68.65% ; MEM: 8706.19 MB
